zip,municipality,state,county,house_price,condo_price,crime_rate,school
33004,Dania Beach,FL,Broward,222900,138100,266,0
33009,Hallandale,FL,Broward,177700,203500,157,0
33010,Hialeah,FL,Miami-Dade,201100,null,128,1
33012,Hialeah,FL,Miami-Dade,240600,102100,77,0
33013,Hialeah,FL,Miami-Dade,212500,107200,153,4
33014,Hialeah,FL,Miami-Dade,298100,138700,104,5
33015,Hialeah,FL,Miami-Dade,278200,139200,90,1
33016,Hialeah,FL,Miami-Dade,246700,117800,119,3
33018,Hialeah,FL,Miami-Dade,258200,145800,112,2
33019,Hollywood,FL,Broward,502500,299300,51,4
33020,Hollywood,FL,Broward,179100,91600,149,3
33021,Hollywood,FL,Broward,285300,103400,92,1
33023,Miramar,FL,Broward,163600,null,183,0
33024,Pembroke Pines,FL,Broward,203200,109000,101,1
33025,Miramar,FL,Broward,223800,114500,107,5
33026,Pembroke Pines,FL,Broward,270300,105500,46,1
33027,Miramar,FL,Broward,353700,107500,55,1
33028,Pembroke Pines,FL,Broward,354600,null,29,5
33029,Pembroke Pines,FL,Broward,363600,null,28,3
33030,Homestead,FL,Miami-Dade,149200,99100,295,1
33032,Princeton,FL,Miami-Dade,158700,null,308,4
33033,Homestead,FL,Miami-Dade,151900,113800,278,3
33034,Florida City,FL,Miami-Dade,106000,null,366,2
33035,Homestead,FL,Miami-Dade,193600,94800,322,4
33054,Miami Gardens,FL,Miami-Dade,101600,null,473,0
33055,Miami Gardens,FL,Miami-Dade,169300,null,176,1
33056,Miami Gardens,FL,Miami-Dade,145500,null,230,4
33060,Pompano Beach,FL,Broward,243000,86900,212,0
33062,Pompano Beach,FL,Broward,526100,284500,184,4
33063,Margate,FL,Broward,208700,56000,57,2
33064,Pompano Beach,FL,Broward,153200,74400,137,4
33065,Coral Springs,FL,Broward,284100,80300,62,5
33066,Coconut Creek,FL,Broward,230000,87300,83,4
33067,Coral Springs,FL,Broward,411000,null,49,5
33068,North Lauderdale,FL,Broward,157600,71200,96,3
33069,Pompano Beach,FL,Broward,106100,128800,238,1
33071,Coral Springs,FL,Broward,347800,118600,37,5
33073,Coconut Creek,FL,Broward,309300,null,75,2
33076,Coral Springs,FL,Broward,450100,null,45,2
33109,Fisher Island,FL,Miami-Dade,null,3102400,,2
33125,Miami,FL,Miami-Dade,200900,109200,346,0
33126,Miami,FL,Miami-Dade,241100,140100,258,0
33127,Miami,FL,Miami-Dade,98600,null,455,2
33128,Miami,FL,Miami-Dade,null,119900,379,0
33129,Miami,FL,Miami-Dade,584800,391300,253,3
33130,Miami,FL,Miami-Dade,null,302400,440,2
33131,Miami,FL,Miami-Dade,null,435600,262,2
33132,Miami,FL,Miami-Dade,null,394500,297,2
33133,Miami,FL,Miami-Dade,731100,404000,362,5
33134,Coral Gables,FL,Miami-Dade,528500,342700,170,3
33135,Miami,FL,Miami-Dade,260300,102100,379,3
33137,Miami,FL,Miami-Dade,663000,301100,265,1
33138,Miami,FL,Miami-Dade,504700,223700,254,0
33139,Miami Beach,FL,Miami-Dade,3229000,367400,249,5
33140,Miami Beach,FL,Miami-Dade,1533600,408300,224,3
33141,Miami Beach,FL,Miami-Dade,815400,236200,217,0
33142,Miami,FL,Miami-Dade,97100,87500,512,0
33143,Glenvar Heights,FL,Miami-Dade,750600,144300,207,1
33144,Miami,FL,Miami-Dade,265600,null,310,5
33145,Miami,FL,Miami-Dade,360800,235500,379,3
33146,Coral Gables,FL,Miami-Dade,930700,299100,86,0
33147,West Little River,FL,Miami-Dade,106400,null,524,2
33149,Key Biscayne,FL,Miami-Dade,2807400,907100,41,2
33150,Miami,FL,Miami-Dade,115600,null,412,4
33154,Bal Harbour,FL,Miami-Dade,682800,502600,78,4
33155,Coral Terrace,FL,Miami-Dade,317500,151900,341,1
33156,Pinecrest,FL,Miami-Dade,999500,203600,210,4
33157,Village of Palmetto Bay,FL,Miami-Dade,238500,85900,199,5
33158,Village of Palmetto Bay,FL,Miami-Dade,606500,1256400,51,5
33160,Sunny Isles Beach,FL,Miami-Dade,1755300,321200,73,5
33161,North Miami,FL,Miami-Dade,200100,75200,228,3
33162,North Miami Beach,FL,Miami-Dade,175400,76200,259,5
33165,University Park,FL,Miami-Dade,290300,null,260,0
33166,Miami Springs,FL,Miami-Dade,340200,140500,181,2
33167,Westview,FL,Miami-Dade,109700,null,407,4
33168,North Miami,FL,Miami-Dade,128000,null,469,4
33169,Miami Gardens,FL,Miami-Dade,181900,85800,224,0
33170,Goulds,FL,Miami-Dade,187100,null,413,2
33172,Fountainbleau,FL,Miami-Dade,415600,142500,150,5
33173,Kendall,FL,Miami-Dade,329200,169000,83,1
33174,Fountainbleau,FL,Miami-Dade,282400,142000,116,4
33175,Tamiami,FL,Miami-Dade,303900,150400,115,1
33176,Kendall,FL,Miami-Dade,418500,127300,125,1
33177,South Miami Heights,FL,Miami-Dade,214400,null,98,2
33178,Doral,FL,Miami-Dade,502800,277900,84,0
33179,Ives Estates,FL,Miami-Dade,256700,100000,92,2
33180,Aventura,FL,Miami-Dade,796100,369300,66,4
33181,North Miami,FL,Miami-Dade,739200,158400,105,2
33182,Tamiami,FL,Miami-Dade,313100,178300,75,3
33183,Kendale Lakes,FL,Miami-Dade,295800,151900,68,5
33184,Tamiami,FL,Miami-Dade,309500,157800,84,5
33185,Kendall West,FL,Miami-Dade,332700,225900,100,3
33186,The Crossings,FL,Miami-Dade,293300,181500,108,2
33187,Richmond West,FL,Miami-Dade,294400,null,124,3
33189,Cutler Bay,FL,Miami-Dade,221900,109100,259,0
33190,Cutler Bay,FL,Miami-Dade,230100,null,375,0
33193,Kendall West,FL,Miami-Dade,289500,134100,127,3
33194,Golden Glades,FL,Miami-Dade,378400,254800,98,3
33196,The Hammocks,FL,Miami-Dade,300400,152500,151,4
33301,Fort Lauderdale,FL,Broward,1051100,332200,210,5
33304,Fort Lauderdale,FL,Broward,433500,249600,210,3
33305,Fort Lauderdale,FL,Broward,456300,205100,149,0
33306,Fort Lauderdale,FL,Broward,562700,161800,106,5
33308,Fort Lauderdale,FL,Broward,587700,297500,77,1
33309,Oakland Park,FL,Broward,170600,99900,200,1
33311,Fort Lauderdale,FL,Broward,122500,null,286,1
33312,Fort Lauderdale,FL,Broward,200600,230000,169,0
33313,Lauderhill,FL,Broward,161300,47400,175,5
